Id,Label,debug,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Eigenvector Centrality,Component ID,Strongly-Connected ID,Clustering Coefficient
1.0,GKA,1.0,4,4,8,8.0,4.0,4.0,9.0,4.407063197026022,0.0,1.236094E-4,1.2371644E-4,10,2.3263134878048118E-4,0.0014558121803326706,0,22,1.0
2.0,THU,10.0,1,1,2,2.0,1.0,1.0,12.0,7.669764560099132,0.0,4.944376E-5,4.9486578E-5,21,1.7394592992993574E-4,1.5560713969812526E-4,0,22,0.0
3.0,YOW,100.0,26,26,52,52.0,26.0,26.0,7.0,3.1425030978934325,103483.65961766911,6.674907E-4,6.6806877E-4,3,6.777052818970826E-4,0.11390305483982516,0,22,0.42153847
4.0,BUQ,1001.0,3,3,6,6.0,3.0,3.0,9.0,3.88909541511772,0.0,9.888752E-5,9.8973156E-5,7,1.4714654856078622E-4,0.004254390263218911,0,22,1.0
5.0,VFA,1004.0,5,5,10,10.0,5.0,5.0,9.0,3.887546468401487,3.9500000000000006,1.4833127E-4,1.4845973E-4,7,2.2043255905788053E-4,0.005003395799494666,0,22,0.7
6.0,HRE,1005.0,14,11,25,25.0,14.0,11.0,9.0,3.8082403965303593,892.1383725370275,3.7082817E-4,3.7114933E-4,7,4.600493049732877E-4,0.028948542304792147,0,22,0.3901099
7.0,BLZ,1013.0,4,4,8,8.0,4.0,4.0,9.0,3.8135068153655514,4.242620672047979,1.236094E-4,1.2371644E-4,7,1.5844987927025425E-4,0.006979203596545323,0,22,0.95
8.0,LLW,1016.0,7,6,13,13.0,7.0,6.0,9.0,3.837360594795539,14.818916961158935,1.9777504E-4,1.9794631E-4,7,2.4224217362333E-4,0.011636764269363388,0,22,0.8095238
9.0,MSU,1018.0,1,1,2,2.0,1.0,1.0,9.0,3.8897149938042133,0.0,4.944376E-5,4.9486578E-5,7,7.412380040879038E-5,0.0034226696993314614,0,22,0.0
10.0,FIH,1020.0,19,15,34,34.0,19.0,15.0,8.0,3.3330235439900866,66693.75867783757,4.944376E-4,4.7012247E-4,7,8.546313757500038E-4,0.054715903794267044,0,22,0.26608187
11.0,MDK,1026.0,2,2,4,4.0,2.0,2.0,9.0,4.332094175960347,6456.0,7.416563E-5,7.4229865E-5,7,2.0946528532673662E-4,0.0010967273844960637,0,22,0.0
12.0,GMA,1028.0,1,1,2,2.0,1.0,1.0,10.0,5.3317843866171,0.0,4.944376E-5,4.9486578E-5,7,1.3516700246165659E-4,1.6610926204082202E-4,0,22,0.0
13.0,FKI,1031.0,3,2,5,5.0,3.0,2.0,9.0,4.3317843866171,12905.000000000002,9.888752E-5,9.8973156E-5,7,2.1774126249184822E-4,0.0012519544814060394,0,22,0.0
14.0,IRP,1032.0,1,1,2,2.0,1.0,1.0,10.0,5.3304428615670485,1613.0000000000002,4.944376E-5,2.4743289E-5,7,6.575561097312891E-5,1.4064867505595411E-4,0,23,0.0
15.0,BUX,1033.0,0,2,2,2.0,0.0,2.0,11.0,6.327244582043344,0.0,0.0,2.4743289E-5,7,4.6144288282780986E-5,0.0,0,24,0.0
16.0,BKY,1035.0,2,1,3,3.0,2.0,1.0,10.0,5.3317843866171,2.0,7.416563E-5,7.4229865E-5,7,2.404908626742248E-4,3.220086794751751E-4,0,22,0.0
17.0,GOM,1036.0,2,2,4,4.0,2.0,2.0,10.0,5.330545229244114,1617.0000000000002,7.416563E-5,4.9486578E-5,7,1.5829562452757403E-4,3.143161449255964E-4,0,22,0.0
18.0,KND,1037.0,2,2,4,4.0,2.0,2.0,9.0,4.332094175960347,6452.0,7.416563E-5,7.4229865E-5,7,2.989905502554838E-4,0.0011042956140099992,0,22,0.0
19.0,FBM,1038.0,7,6,13,13.0,7.0,6.0,9.0,3.8370508054522925,1473.5369971344476,1.9777504E-4,1.9794631E-4,7,3.1876368540224E-4,0.010969196816213228,0,22,0.47619048
20.0,KGA,1042.0,3,3,6,6.0,3.0,3.0,9.0,4.3314745972738535,1.7277777777777776,9.888752E-5,9.8973156E-5,7,2.0455725363935183E-4,0.0014415072261731356,0,22,0.6666667
21.0,MJM,1043.0,2,2,4,4.0,2.0,2.0,9.0,4.3317843866171,0.0,7.416563E-5,7.4229865E-5,7,1.3973152037498654E-4,0.0012748782663144322,0,22,1.0
22.0,BKO,1044.0,16,16,32,32.0,16.0,16.0,8.0,3.3717472118959106,857.1959583462801,4.2027194E-4,4.2063592E-4,7,3.556699259756732E-4,0.05437138432768709,0,22,0.55
23.0,YPL,105.0,1,1,2,2.0,1.0,1.0,9.0,4.552973977695167,3224.0000000000014,4.944376E-5,4.9486578E-5,3,1.3102479072988073E-4,1.589148488020993E-4,0,22,0.5
24.0,BJL,1050.0,7,7,14,14.0,7.0,7.0,9.0,3.731102850061958,77.57692604284546,1.9777504E-4,1.9794631E-4,7,1.7971430650813596E-4,0.024375911521912538,0,22,0.6666667
25.0,FUE,1051.0,51,53,104,104.0,51.0,53.0,8.0,3.279739776951673,2136.027008653984,0.0012855377,0.001286651,19,7.117039599543333E-4,0.267717159919166,0,22,0.38956228
26.0,VDE,1052.0,3,3,6,6.0,3.0,3.0,9.0,4.142812887236679,0.6419279550858498,9.888752E-5,9.8973156E-5,19,8.883232490861609E-5,0.011940855603029968,0,22,0.6666667
27.0,SPC,1053.0,7,7,14,14.0,7.0,7.0,8.0,3.3513011152416357,70.57595815487784,1.9777504E-4,1.9794631E-4,19,1.448964802887038E-4,0.06556525760368616,0,22,0.8095238
28.0,LPA,1054.0,82,79,161,161.0,82.0,79.0,8.0,3.203841387856258,18722.49592052488,0.002051916,0.002053693,19,0.0012386100039051603,0.38389505809686925,0,22,0.31722373
29.0,ACE,1055.0,57,54,111,111.0,57.0,54.0,8.0,3.2915117719950433,2281.8151872592543,0.001433869,0.0014351107,19,7.822944808102244E-4,0.2742202747602037,0,22,0.31704262
30.0,TFS,1056.0,83,83,166,166.0,83.0,83.0,8.0,3.1874225526641884,10714.469026142235,0.002076638,0.0020784363,19,0.0011626179093414157,0.39340017692312035,0,22,0.29229692
31.0,TFN,1057.0,17,17,34,34.0,17.0,17.0,8.0,3.4888475836431225,7236.177791057396,4.449938E-4,4.4537918E-4,19,3.491003447936941E-4,0.06919504979528858,0,22,0.43382353
32.0,MLN,1058.0,4,4,8,8.0,4.0,4.0,9.0,3.613382899628253,1.9292517601151937,1.236094E-4,1.2371644E-4,19,1.0723450606354748E-4,0.019218938554863587,0,22,0.5
33.0,FNA,1059.0,11,11,22,22.0,11.0,11.0,8.0,3.3395291201982653,1578.699648451513,2.9666253E-4,2.9691946E-4,7,2.661730121175904E-4,0.044011619519386265,0,22,0.5
34.0,YPN,106.0,2,2,4,4.0,2.0,2.0,9.0,4.83550185873606,0.0,7.416563E-5,7.4229865E-5,4,1.542840487145275E-4,4.639242302682954E-4,0,22,1.0
35.0,MLW,1062.0,2,2,4,4.0,2.0,2.0,9.0,4.1053283767038415,0.0,7.416563E-5,7.4229865E-5,7,8.861378726223064E-5,0.002528983007777329,0,22,1.0
36.0,ROB,1063.0,6,6,12,12.0,6.0,6.0,8.0,3.6666666666666665,16.42256039398692,1.7305315E-4,1.7320302E-4,7,1.5936911578744647E-4,0.024739491457830165,0,22,0.7619048
37.0,AGA,1064.0,21,20,41,41.0,21.0,20.0,8.0,3.297707558859975,2356.9156999608585,5.438813E-4,5.4435234E-4,19,3.611322499960777E-4,0.12451751439097113,0,22,0.45454547
38.0,TTA,1065.0,0,1,1,1.0,0.0,1.0,9.0,3.9715082068751935,0.0,0.0,2.4743289E-5,19,4.6144288282780986E-5,0.0,0,25,0.0
39.0,FEZ,1066.0,16,16,32,32.0,16.0,16.0,9.0,3.701363073110285,491.49900316927454,4.2027194E-4,4.2063592E-4,19,2.735822974817227E-4,0.061071603367671944,0,22,0.35
40.0,OUD,1070.0,9,9,18,18.0,9.0,9.0,8.0,3.659541511771995,39.89269998534706,2.472188E-4,2.4743288E-4,19,1.7062882756379173E-4,0.04050340709787842,0,22,0.33333334
41.0,RBA,1072.0,9,9,18,18.0,9.0,9.0,8.0,3.3732961586121437,65.64967497465061,2.472188E-4,2.4743288E-4,19,1.7191606127164145E-4,0.05441030639322011,0,22,0.4722222
42.0,CMN,1074.0,86,85,171,171.0,86.0,85.0,8.0,2.9724287484510534,66597.89156808706,0.0021508036,0.0021279228,19,0.0016751437715556861,0.3630338333627404,0,22,0.22210012
43.0,RAK,1075.0,48,49,97,97.0,48.0,49.0,8.0,3.253717472118959,4308.527378261585,0.0012113721,0.0012124211,19,7.118143403689941E-4,0.2682245079932232,0,22,0.4319728
44.0,OZZ,1077.0,2,2,4,4.0,2.0,2.0,9.0,3.8878562577447338,0.0,7.416563E-5,7.4229865E-5,19,7.948929420365537E-5,0.010627673274734302,0,22,1.0
45.0,AHU,1078.0,1,1,2,2.0,1.0,1.0,9.0,3.97180916976456,3227.0,4.944376E-5,4.9486578E-5,19,9.960558810430036E-5,2.1114209432866534E-4,0,22,0.5
46.0,TTU,1079.0,1,1,2,2.0,1.0,1.0,10.0,4.971189591078067,3229.0,4.944376E-5,4.9486578E-5,19,6.289569037584448E-5,0.005163588511928381,0,22,0.5
