Id,Label,Name,Weighted Degree,City,Country,Lagtitude,Longitude,In-Degree,Out-Degree,Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Eigenvector Centrality,Clustering Coefficient
1359,FRA,Frankfurt Main,477,Frankfurt Germany,,50.026421,8.543125,238,239,477,238,239,7,2.451363073,556238.3671,19,1,0.14519665
200,CDG,Charles De Gaulle,470,Paris France,,49.012779,2.55,233,237,470,233,237,7,2.469330855,664013.8085,19,0.960094316,0.14238144
2283,AMS,Schiphol,463,Amsterdam Netherlands,,52.308613,4.763889,231,232,463,231,232,7,2.514869888,464301.1413,19,0.98614848,0.14671215
368,IST,Ataturk,453,Istanbul Turkey,,40.976922,28.814606,228,225,453,228,225,7,2.601301115,432301.2586,6,0.77873683,0.11413741
1508,ATL,Hartsfield Jackson Atlanta Intl,433,Atlanta United States,,33.636719,-84.428067,216,217,433,216,217,7,2.689591078,323276.7802,3,0.569238764,0.11236986
1589,ORD,Chicago Ohare Intl,409,Chicago United States,,41.978603,-87.904842,203,206,409,203,206,7,2.598513011,518478.061,3,0.618169376,0.12391665
1323,PEK,Capital Intl,404,Beijing China,,40.080111,116.584556,202,202,404,202,202,7,2.608736059,508399.6998,9,0.592344798,0.12544505
1392,MUC,Franz Josef Strauss,380,Munich Germany,,48.353783,11.786086,189,191,380,189,191,7,2.601920694,170403.2279,19,0.866113327,0.1975349
1725,DME,Domododevo,375,Moscow Russia,,55.408611,37.906111,188,187,375,188,187,8,2.888166047,311545.8614,13,0.465679359,0.074894756
1500,DFW,Dallas Fort Worth Intl,372,Dallas-Fort Worth United States,,32.896828,-97.037997,185,187,372,185,187,7,2.694237918,279157.6154,3,0.463336668,0.12470133
644,DXB,Dubai Intl,368,Dubai United Arab Emirates,,25.252778,55.364444,181,187,368,181,187,7,2.513011152,628536.5934,6,0.652417521,0.13699615
2000,LHR,Heathrow,342,London United Kingdom,,51.4775,-0.461389,171,171,342,171,171,7,2.479244114,415189.9635,19,0.839918413,0.21362029
